conditions,d_price,details,guest_rating,name,original_price,room_type,star
,"1 night, 2 adults
CNY 3,125
Price CNY 3,125
+CNY 93 taxes and charges","Breakfast & dinner included
Summer Island Maldives Resort
Opens in new window
North Male AtollShow on map
9.0
Scored 9.0
Superb
1,227 reviews
Cleanliness 9.4
Bungalow Superior
1 double bed
Breakfast & dinner included
Free cancellation
1 night, 2 adults
CNY 3,125
Price CNY 3,125
+CNY 93 taxes and charges
See availability","9.0
Scored 9.0
Superb
1,227 reviews",Summer Island Maldives Resort,North Male Atoll,Bungalow Superior,4 out of 5
,"1 night, 2 adults
CNY 23,881
Price CNY 23,881
+CNY 25,490 taxes and charges","Soneva Jani
Opens in new window
NoonuShow on map
9.2
Scored 9.2
Superb
55 reviews
1 Bedroom Water Retreat with Slide
2 beds (1 single, 1 extra-large double)
Breakfast included
1 night, 2 adults
CNY 23,881
Price CNY 23,881
+CNY 25,490 taxes and charges
See availability","9.2
Scored 9.2
Superb
55 reviews",Soneva Jani,Noonu,1 Bedroom Water Retreat with Slide,5 out of 5
,"1 night, 2 adults
CNY 5,955CNY 5,657
Original price CNY 5,955. Current price CNY 5,657.
+CNY 11,056 taxes and charges","Breakfast included
Constance Halaveli
Opens in new window
HangnaameedhooShow on map
Sustainability certification
9.7
Scored 9.7
Exceptional
451 reviews
Cleanliness 9.9
Water Villa with Private Pool
1 extra-large double bed
Breakfast included
1 night, 2 adults
CNY 5,955CNY 5,657
Original price CNY 5,955. Current price CNY 5,657.
+CNY 11,056 taxes and charges
See availability","9.7
Scored 9.7
Exceptional
451 reviews",Constance Halaveli,Hangnaameedhoo,Water Villa with Private Pool,5 out of 5
,"1 night, 2 adults
CNY 905CNY 543
Original price CNY 905. Current price CNY 543.
Includes taxes and charges","Breakfast included
Captal Island Villa
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
MathiveriShow on map
9.3
Scored 9.3
Superb
87 reviews
Standard Double Room
1 large double bed
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
CNY 905CNY 543
Original price CNY 905. Current price CNY 543.
Includes taxes and charges
See availability","9.3
Scored 9.3
Superb
87 reviews",Captal Island Villa,Mathiveri,Standard Double Room,3 out of 5
,"1 night, 2 adults
CNY 1,303CNY 782
Original price CNY 1,303. Current price CNY 782.
+CNY 303 taxes and charges","Breakfast included
Kaani Palm Beach
Opens in new window
MaafushiShow on map
8.4
Scored 8.4
Very good
3,416 reviews
Cleanliness 8.9
Standard Double Room (Excludes Window Access)
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
1 night, 2 adults
CNY 1,303CNY 782
Original price CNY 1,303. Current price CNY 782.
+CNY 303 taxes and charges
See availability","8.4
Scored 8.4
Very good
3,416 reviews",Kaani Palm Beach,Maafushi,Standard Double Room (Excludes Window Access),4 out of 5
,"1 night, 2 adults
CNY 2,746
Price CNY 2,746
+CNY 845 taxes and charges","Breakfast included
Angsana Velavaru - All inclusive SELECT
Opens in new window
Dhaalu AtollShow on map
Sustainability certification
8.9
Scored 8.9
Fabulous
273 reviews
Beach Infinity Pool Villa
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 104m²
1 extra-large double bed
Breakfast included
Only 2 left at this price on our site
1 night, 2 adults
CNY 2,746
Price CNY 2,746
+CNY 845 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
273 reviews",Angsana Velavaru - All inclusive SELECT,Dhaalu Atoll,Beach Infinity Pool Villa,5 out of 5
,"1 night, 2 adults
CNY 4,465CNY 3,572
Original price CNY 4,465. Current price CNY 3,572.
+CNY 1,073 taxes and charges","All-inclusive
Cocoon Maldives - All Inclusive
Opens in new window
Lhaviyani AtollShow on map
9.1
Scored 9.1
Superb
202 reviews
Cleanliness 9.4
Getaway Deal
Beach Villa
2 beds (1 extra-large double, 1 sofa bed)
All-inclusive
1 night, 2 adults
CNY 4,465CNY 3,572
Original price CNY 4,465. Current price CNY 3,572.
+CNY 1,073 taxes and charges
See availability","9.1
Scored 9.1
Superb
202 reviews",Cocoon Maldives - All Inclusive,Lhaviyani Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
CNY 881
Price CNY 881
+CNY 287 taxes and charges","Breakfast included
Bliss Dhigurah
Opens in new window
DhigurahShow on map
9.1
Scored 9.1
Superb
350 reviews
Cleanliness 9.2
Budget Double Room
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
CNY 881
Price CNY 881
+CNY 287 taxes and charges
See availability","9.1
Scored 9.1
Superb
350 reviews",Bliss Dhigurah,Dhigurah,Budget Double Room,3 out of 5
,"1 night, 2 adults
CNY 4,595CNY 2,481
Original price CNY 4,595. Current price CNY 2,481.
+CNY 772 taxes and charges","Breakfast included
Sun Siyam Iru Veli Premium All Inclusive
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Dhaalu AtollShow on map
9.0
Scored 9.0
Superb
272 reviews
Cleanliness 9.4
Getaway Deal
Beach Villa with Private Pool - Free Sea Plane Transfers, Free-Floating Breakfast, Kids Eat & Stay for Free (T&C Apply) for bookings from 26th March, 2024
Private suite
1 extra-large double bed
Breakfast included
Free cancellation
Only 1 left at this price on our site
1 night, 2 adults
CNY 4,595CNY 2,481
Original price CNY 4,595. Current price CNY 2,481.
+CNY 772 taxes and charges
See availability","9.0
Scored 9.0
Superb
272 reviews",Sun Siyam Iru Veli Premium All Inclusive,Dhaalu Atoll,"Beach Villa with Private Pool - Free Sea Plane Transfers, Free-Floating Breakfast, Kids Eat & Stay for Free (T&C Apply) for bookings from 26th March, 2024",5 out of 5
,"1 night, 2 adults
CNY 1,518
Price CNY 1,518
+CNY 419 taxes and charges","Breakfast included
Equator Village Resort
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
GanShow on map
8.1
Scored 8.1
Very good
78 reviews
Standard Double or Twin Room
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
1 night, 2 adults
CNY 1,518
Price CNY 1,518
+CNY 419 taxes and charges
See availability","8.1
Scored 8.1
Very good
78 reviews",Equator Village Resort,Gan,Standard Double or Twin Room,3 out of 5
